Any,Codi_Districte,Nom_Districte,Codi_Barri,Nom_Barri,Taxa_mil_hab
2014,1,Ciutat Vella,1,el Raval,8.9
2014,1,Ciutat Vella,2,el Barri Gòtic,6.1
2014,1,Ciutat Vella,3,la Barceloneta,5.8
2014,1,Ciutat Vella,4,"Sant Pere, Santa Caterina i la Ribera",7.4
2014,2,Eixample,5,el Fort Pienc,8.1
2014,2,Eixample,6,la Sagrada Família,8.4
2014,2,Eixample,7,la Dreta de l'Eixample,8.1
2014,2,Eixample,8,l'Antiga Esquerra de l'Eixample,7.9
2014,2,Eixample,9,la Nova Esquerra de l'Eixample,7.7
2014,2,Eixample,10,Sant Antoni,7.7
2014,3,Sants-Montjuïc,11,el Poble Sec,8.8
2014,3,Sants-Montjuïc,12,la Marina del Prat Vermell,10.4
2014,3,Sants-Montjuïc,13,la Marina de Port,7.7
2014,3,Sants-Montjuïc,14,la Font de la Guatlla,7.0
2014,3,Sants-Montjuïc,15,Hostafrancs,9.9
2014,3,Sants-Montjuïc,16,la Bordeta,7.9
2014,3,Sants-Montjuïc,17,Sants - Badal,7.5
2014,3,Sants-Montjuïc,18,Sants,8.6
2014,4,Les Corts,19,les Corts,7.3
2014,4,Les Corts,20,la Maternitat i Sant Ramon,7.8
2014,4,Les Corts,21,Pedralbes,6.7
2014,5,Sarrià-Sant Gervasi,22,"Vallvidrera, el Tibidabo i les Planes",8.8
2014,5,Sarrià-Sant Gervasi,23,Sarrià,10.
2014,5,Sarrià-Sant Gervasi,24,les Tres Torres,8.7
2014,5,Sarrià-Sant Gervasi,25,Sant Gervasi - la Bonanova,8.8
2014,5,Sarrià-Sant Gervasi,26,Sant Gervasi - Galvany,8.3
2014,5,Sarrià-Sant Gervasi,27,el Putxet i el Farró,7.7
2014,6,Gràcia,28,Vallcarca i els Penitents,8.4
2014,6,Gràcia,29,el Coll,10.8
2014,6,Gràcia,30,la Salut,7.4
2014,6,Gràcia,31,la Vila de Gràcia,8.9
2014,6,Gràcia,32,el Camp d'en Grassot i Gràcia Nova,8.1
2014,7,Horta-Guinardó,33,el Baix Guinardó,7.6
2014,7,Horta-Guinardó,34,Can Baró,8.0
2014,7,Horta-Guinardó,35,el Guinardó,8.3
2014,7,Horta-Guinardó,36,la Font d'en Fargues,7.5
2014,7,Horta-Guinardó,37,el Carmel,8.5
2014,7,Horta-Guinardó,38,la Teixonera,7.3
2014,7,Horta-Guinardó,39,Sant Genís dels Agudells,5.6
2014,7,Horta-Guinardó,40,Montbau,4.1
2014,7,Horta-Guinardó,41,la Vall d'Hebron,6.3
2014,7,Horta-Guinardó,42,la Clota,19.1
2014,7,Horta-Guinardó,43,Horta,7.0
2014,8,Nou Barris,44,Vilapicina i la Torre Llobeta,6.9
2014,8,Nou Barris,45,Porta,8.2
2014,8,Nou Barris,46,el Turó de la Peira,9.3
2014,8,Nou Barris,47,Can Peguera,9.2
2014,8,Nou Barris,48,la Guineueta,6.1
2014,8,Nou Barris,49,Canyelles,6.5
2014,8,Nou Barris,50,les Roquetes,8.4
2014,8,Nou Barris,51,Verdun,8.8
2014,8,Nou Barris,52,la Prosperitat,8.3
2014,8,Nou Barris,53,la Trinitat Nova,8.9
2014,8,Nou Barris,54,Torre Baró,8.6
2014,8,Nou Barris,55,Ciutat Meridiana,11.7
2014,8,Nou Barris,56,Vallbona,15.2
2014,9,Sant Andreu,57,la Trinitat Vella,12.4
2014,9,Sant Andreu,58,Baró de Viver,8.0
2014,9,Sant Andreu,59,el Bon Pastor,10.9
2014,9,Sant Andreu,60,Sant Andreu,8.8
2014,9,Sant Andreu,61,la Sagrera,9.0
2014,9,Sant Andreu,62,el Congrés i els Indians,8.5
2014,9,Sant Andreu,63,Navas,7.9
2014,10,Sant Martí,64,el Camp de l'Arpa del Clot,8.5
2014,10,Sant Martí,65,el Clot,7.0
2014,10,Sant Martí,66,el Parc i la Llacuna del Poblenou,9.2
2014,10,Sant Martí,67,la Vila Olímpica del Poblenou,9.6
2014,10,Sant Martí,68,el Poblenou,10.6
2014,10,Sant Martí,69,Diagonal Mar i el Front Marítim del Poblenou,13.2
2014,10,Sant Martí,70,el Besòs i el Maresme,9.7
2014,10,Sant Martí,71,Provençals del Poblenou,10.4
2014,10,Sant Martí,72,Sant Martí de Provençals,7.7
2014,10,Sant Martí,73,la Verneda i la Pau,6.9
